"","season_year","season","Daphnia","month_for_plot","date_for_plot"
"1",2004,"Autumn",3.61111111111111,10,2004-10-01
"2",2004,"Spring",5.85,4,2004-04-01
"3",2004,"Summer",9.93333333333333,7,2004-07-01
"4",2004,"Winter",2.225,1,2004-01-01
"5",2005,"Autumn",1.63333333333333,10,2005-10-01
"6",2005,"Spring",4.99444444444444,4,2005-04-01
"7",2005,"Summer",13.1166666666667,7,2005-07-01
"8",2005,"Winter",0.683333333333333,1,2005-01-01
"9",2006,"Autumn",0.594444444444444,10,2006-10-01
"10",2006,"Spring",7.60555555555556,4,2006-04-01
"11",2006,"Summer",4.13333333333333,7,2006-07-01
"12",2006,"Winter",1.68333333333333,1,2006-01-01
"13",2007,"Autumn",12.4888888888889,10,2007-10-01
"14",2007,"Spring",12.1944444444444,4,2007-04-01
"15",2007,"Summer",4.38333333333333,7,2007-07-01
"16",2007,"Winter",1.9,1,2007-01-01
"17",2008,"Autumn",0.788888888888889,10,2008-10-01
"18",2008,"Spring",11.825,4,2008-04-01
"19",2008,"Summer",20.3666666666667,7,2008-07-01
"20",2008,"Winter",0.166666666666667,1,2008-01-01
"21",2009,"Autumn",1.16666666666667,10,2009-10-01
"22",2009,"Spring",9.85555555555556,4,2009-04-01
"23",2009,"Summer",23.75,7,2009-07-01
"24",2009,"Winter",0.4,1,2009-01-01
"25",2010,"Autumn",3.4,10,2010-10-01
"26",2010,"Spring",8.6,4,2010-04-01
"27",2010,"Summer",3.03333333333333,7,2010-07-01
"28",2010,"Winter",0.0916666666666667,1,2010-01-01
"29",2011,"Autumn",2.85166666666667,10,2011-10-01
"30",2011,"Spring",9.10888888888889,4,2011-04-01
"31",2011,"Summer",10.8833333333333,7,2011-07-01
"32",2011,"Winter",0,1,2011-01-01
"33",2012,"Autumn",0.463333333333333,10,2012-10-01
"34",2012,"Spring",13.0633333333333,4,2012-04-01
"35",2012,"Summer",2.70833333333333,7,2012-07-01
"36",2012,"Winter",0.280555555555556,1,2012-01-01
"37",2013,"Autumn",6.40555555555556,10,2013-10-01
"38",2013,"Spring",0.458333333333333,4,2013-04-01
"39",2013,"Summer",22.15,7,2013-07-01
"40",2013,"Winter",0,1,2013-01-01
"41",2014,"Autumn",2.47222222222222,10,2014-10-01
"42",2014,"Spring",7.33611111111111,4,2014-04-01
"43",2014,"Summer",9.14166666666667,7,2014-07-01
"44",2014,"Winter",1.4,1,2014-01-01
"45",2015,"Autumn",10.275,10,2015-10-01
"46",2015,"Spring",11.1,4,2015-04-01
"47",2015,"Summer",4.26111111111111,7,2015-07-01
"48",2015,"Winter",1.02777777777778,1,2015-01-01
"49",2016,"Autumn",0.691666666666667,10,2016-10-01
"50",2016,"Spring",15.0833333333333,4,2016-04-01
"51",2016,"Summer",5.99055555555556,7,2016-07-01
"52",2016,"Winter",2.98888888888889,1,2016-01-01
"53",2017,"Winter",0.1,1,2017-01-01
